array_1
14668,14670,14666,14669,14668,14668,14648,55431,54893,54208,54663,14666,14675,14693,14668,14666,14666,14636,55528,54854,54175,54636
14668,14670,14666,14669,14668,14668,14648,55431,54893,54208,54663,14666,14675,14693,14668,14666,14666,14636,55528,54854,54175,54636
14667,14669,14667,14669,14669,14666,14667,14669,14664,55537,55532,14665,14675,14693,14669,14667,14665,14667,14665,14667,55537,55533
14665,14668,14665,14668,14667,14666,14666,14667,14663,55537,55531,14665,14674,14692,14667,14666,14665,14665,14666,14665,55536,55533
14667,14669,14667,14669,14669,14667,14667,14670,14664,55538,55532,14665,14674,14693,14668,14666,14666,14666,14666,14665,55536,55533
14666,14670,14666,14669,14668,14666,14667,14668,14663,55538,55532,14666,14675,14694,14669,14667,14666,14667,14667,14665,55536,55533
14666,14670,14666,14669,14668,14666,14667,14668,14664,55537,55531,14667,14676,14694,14669,14667,14667,14667,14667,14665,55536,55532
14666,14670,14666,14669,14668,14666,14667,14668,14664,55537,55531,14667,14676,14694,14669,14667,14667,14667,14667,14665,55536,55532
14665,14668,14665,14668,14666,14665,14640,55515,54877,54214,54664,14664,14674,14692,14666,14664,14664,14630,55526,54880,54210,54670
14665,14668,14665,14668,14666,14665,14640,55515,54877,54214,54664,14664,14674,14692,14666,14664,14664,14630,55526,54880,54210,5467055

array_2
11762,17070,13259,16339,12817,16944,12217,55832,55495,53658,55524,13556,17184,11639,16587,13305,15700,12881,55806,55473,53630,55495
13346,15913,13301,16023,13388,15926,13368,15890,13445,56136,55511,13299,16009,12866,16437,13365,15977,13271,16062,13190,56318,55515
13250,16014,13196,16126,13283,16022,13273,15983,13348,56182,55512,13199,16099,12830,16481,13265,15971,13287,16153,13272,56183,55514
13154,16112,13097,16229,13184,16118,13164,16093,13248,56233,55512,13099,16204,12738,16569,13172,16066,13183,16254,13187,56225,55513
13083,16184,13026,16301,13113,16197,13098,16158,13173,56272,55512,13025,16279,12649,16662,13086,16153,13092,16343,13107,56263,55513
13083,16184,13026,16301,13113,16197,13098,16158,13173,56272,55512,13025,16279,12649,16662,13086,16153,13092,16343,13107,56263,55513
13026,16241,12968,16357,13059,16251,13039,16222,13114,56300,55512,12970,16330,12580,16730,13036,16200,13035,16402,13049,56293,55513
12984,16284,12923,16402,13014,16296,12995,16264,13072,56324,55513,12926,16376,12543,16771,12987,16253,12998,16439,13002,56317,55514
12926,16340,12892,16440,12889,16416,12954,16307,13010,56362,55513,12814,16440,12486,16951,12806,16320,12925,16527,12922,56333,55513
12939,16334,12873,16454,12964,16344,12948,16315,13025,56345,55513,12887,16421,12499,16815,12948,16298,12950,16492,12960,56339,55514

array_3
16054,12257,15989,12999,16465,12368,16442,55466,54949,55535,54434,15293,11973,17957,12602,16023,13503,15199,55529,54905,55534,54357
15292,13374,16022,13274,15936,13355,15948,13413,15286,55515,55550,15430,13277,16508,12857,15924,13284,16029,13236,15330,55528,55538
15338,13274,16120,13173,16031,13261,16034,13322,15332,55515,55551,15474,13195,16538,12816,16016,13295,16001,13155,15376,55526,55539
15384,13180,16218,13072,16129,13168,16143,13216,15379,55514,55551,15539,13081,16634,12723,16113,13195,16109,13049,15422,55526,55540
15424,13111,16288,13004,16197,13094,16204,13155,15415,55515,55551,15567,13011,16723,12637,16196,13112,16198,12966,15463,55525,55540
15453,13052,16351,12944,16257,13035,16268,13088,15447,55515,55551,15592,12957,16790,12570,16244,13063,16252,12908,15491,55526,55541
15477,13004,16399,12896,16305,12988,16315,13045,15468,55516,55550,15611,12915,16829,12532,16292,13015,16290,12875,15516,55525,55541
15515,12952,16426,12859,16427,12867,16353,13001,15488,55516,55550,15630,12861,16878,12369,16461,12955,16355,12795,15574,55525,55542
15501,12960,16445,12849,16352,12942,16361,12995,15493,55515,55551,15633,12876,16875,12491,16336,12974,16341,12825,15541,55525,55542
15887,12584,15780,12745,16692,12426,16436,55521,55251,55437,54442,15724,12957,16336,12995,15990,12949,15582,55526,54865,55523,54397
